iter	RMSE
0	1.013465806
1	1.008985047
2	1.003099146
3	0.999129384
4	0.99481647
5	0.9890117896
6	0.984981544
7	0.9797670761
8	0.9755178839
9	0.9725514985
10	0.9673244467
11	0.9639523543
12	0.9591763422
13	0.9545977089
14	0.9496638581
15	0.9452453389
16	0.9393117641
17	0.936400387
18	0.9311500181
19	0.9262026444
20	0.9236776895
21	0.9210112924
22	0.9163852239
23	0.9131556057
24	0.9089202534
25	0.9056832862
26	0.9020884231
27	0.8991663473
28	0.895968137
29	0.890147171
30	0.8881658511
31	0.8848305973
32	0.8809031264
33	0.8771022566
34	0.8736479977
35	0.8715599078
36	0.8690992364
37	0.8663104728
38	0.8625912599
39	0.8601797917
40	0.856569664
41	0.8534510443
42	0.8500678342
43	0.8481720974
44	0.8460272073
45	0.8426387951
46	0.8397530966
47	0.8377557865
48	0.8352465878
49	0.8332924066
50	0.8294963136
51	0.8266968046
52	0.8246812277
53	0.8212402316
54	0.8173415774
55	0.8141626798
56	0.8129785949
57	0.8116449106
58	0.8094353122
59	0.806778429
60	0.8047790657
61	0.801916231
62	0.7987418762
63	0.7955043265
64	0.7944429424
65	0.7916239588
66	0.7902862398
67	0.7878690614
68	0.785439458
69	0.7822107749
70	0.7791821164
71	0.7777525248
72	0.7748874669
73	0.7722433159
74	0.7708335002
75	0.7687042326
76	0.7662305047
77	0.7644539623
78	0.7622457214
79	0.7592999519
80	0.756696659
81	0.7547321678
82	0.7529750917
83	0.7507521025
84	0.7481223171
85	0.7462024836
86	0.7431454834
87	0.7413818419
88	0.7396324725
89	0.7372183399
90	0.7350942103
91	0.7341504849
92	0.7332408548
93	0.7319769192
94	0.7296177168
95	0.7285874017
96	0.7271078594
97	0.7257378158
98	0.7232414095
99	0.7205246975
100	0.7195883401
101	0.7182172873
102	0.7173677946
103	0.7152463157
104	0.7131545025
105	0.7118721381
106	0.7090670773
107	0.7066474835
108	0.7048684203
109	0.703460345
110	0.7017793903
111	0.6998506335
112	0.6984985347
113	0.6971194471
114	0.6957573813
115	0.6947516607
116	0.6936687386
117	0.6924988183
118	0.6911810721
119	0.6896285379
120	0.6864177615
121	0.6844490718
122	0.6825466805
123	0.6807929908
124	0.6797971785
125	0.6780487103
126	0.6765732769
127	0.6740250333
128	0.671820502
129	0.6701343065
130	0.6684309884
